negative_top1,neutral_top1,positive_top1,negative_top2,neutral_top2,positive_top2,negative_top3,neutral_top3,positive_top3,negative_top4,neutral_top4,positive_top4,negative_top5,neutral_top5,positive_top5,negative_top6,neutral_top6,positive_top6,negative_top7,neutral_top7,positive_top7,negative_top8,neutral_top8,positive_top8,negative_top9,neutral_top9,positive_top9,negative_top10,neutral_top10,positive_top10,negative_top11,neutral_top11,positive_top11,negative_top12,neutral_top12,positive_top12,negative_top13,neutral_top13,positive_top13,negative_top14,neutral_top14,positive_top14,negative_top15,neutral_top15,positive_top15,negative_top16,neutral_top16,positive_top16,negative_top17,neutral_top17,positive_top17,negative_top18,neutral_top18,positive_top18,negative_top19,neutral_top19,positive_top19,negative_top20,neutral_top20,positive_top20,negative_top21,neutral_top21,positive_top21,negative_top22,neutral_top22,positive_top22,negative_top23,neutral_top23,positive_top23,negative_top24,neutral_top24,positive_top24,negative_top25,neutral_top25,positive_top25
0.5521669,0.43765002,0.010183059,0.28519893,0.6914439,0.023357105,0.31012982,0.66441286,0.025457326,0.8517627,0.14452852,0.003708782,0.95649165,0.04159781,0.0019105491,0.61416775,0.37415993,0.011672327,0.4244785,0.56136936,0.014152118,0.82619655,0.16765846,0.006145043,0.7905337,0.20309739,0.0063688527,0.3050971,0.68076485,0.014137989,0.2100264,0.76611114,0.023862548,0.2875571,0.69659156,0.015851326,0.9665668,0.031085903,0.0023472926,0.39158446,0.59245634,0.015959224,0.18511926,0.7754117,0.039468993,0.7140237,0.27917317,0.006803139,0.54576784,0.44205922,0.012172936,0.22821258,0.7431577,0.028629674,0.104256675,0.7313338,0.16440947,0.26879296,0.71600753,0.015199524,0.60894823,0.37922665,0.011825123,0.6284518,0.3638213,0.007726897,0.7724109,0.21776332,0.009825756,0.9175838,0.07917087,0.0032453097,0.638448,0.34900466,0.012547297
0.7444131,0.24743599,0.00815099,0.22204351,0.7572952,0.020661324,0.15881938,0.7193775,0.12180313,0.76327485,0.22995985,0.0067653586,0.5579668,0.41226035,0.029772779,0.5547361,0.43670118,0.008562718,0.73559314,0.26000282,0.0044040456,0.94738925,0.050948113,0.0016627214,0.005286378,0.29878712,0.6959265,0.7756606,0.20419657,0.0201428,0.28615105,0.6971523,0.016696602,0.0021692126,0.3906182,0.6072126,0.08198476,0.89683867,0.021176642,0.8308931,0.16459686,0.0045100274,0.4891243,0.4727912,0.0380845,0.5528632,0.43944943,0.0076873996,0.8710721,0.123763815,0.0051640226,0.97077,0.027377373,0.0018525807,0.026882889,0.7898611,0.18325607,0.36846292,0.613806,0.01773106,0.7043897,0.2897625,0.005847835,0.57626736,0.39547256,0.028260028,0.186386,0.7827307,0.030883377,0.104859576,0.31595844,0.57918197,0.5886365,0.3931234,0.018240063
0.5916299,0.33613747,0.07223261,0.18676311,0.7845735,0.028663356,0.49799392,0.45496157,0.04704453,0.9254517,0.07257533,0.0019730008,0.2542393,0.7217511,0.024009526,0.64082944,0.3380167,0.021153891,0.1836774,0.78127015,0.035052445,0.28786507,0.6869342,0.025200723,0.22703122,0.7117588,0.06121004,0.3270879,0.632258,0.04065408,0.79216063,0.20142297,0.0064164577,0.32256126,0.6564092,0.021029562,0.5378921,0.4318677,0.030240148,0.061262123,0.7961323,0.14260559,0.024745991,0.6579777,0.31727624,0.21182649,0.76418465,0.023988798,0.041499976,0.71641845,0.2420816,0.6640053,0.3258067,0.010187999,0.36084569,0.61930203,0.01985228,0.9467473,0.05052663,0.0027260936,0.51769465,0.47372127,0.008584071,0.83767426,0.15535848,0.00696737,0.6968321,0.29576537,0.0074025416,0.08189098,0.8863688,0.031740177,0.27668524,0.6853074,0.038007367
0.2651819,0.7191424,0.015675727,0.86528105,0.12809065,0.006628281,0.45464832,0.5303766,0.01497509,0.5687928,0.39029598,0.040911272,0.5493264,0.44058973,0.010083869,0.19351503,0.7635564,0.04292858,0.082329996,0.46263546,0.45503446,0.7327835,0.25674376,0.010472746,0.29794657,0.68481153,0.017241916,0.12609369,0.7160625,0.15784392,0.039038748,0.9162819,0.044679374,0.39549565,0.5972753,0.0072290646,0.013052785,0.50816447,0.47878274,0.4053156,0.5798322,0.014852198,0.041499976,0.71641845,0.2420816,0.52891964,0.44785777,0.023222607,0.19930978,0.7830044,0.0176858,0.53729284,0.4533289,0.009378224,0.54445356,0.44729984,0.008246605,0.16543576,0.8199389,0.014625302,0.30667117,0.64867884,0.044649977,0.4994759,0.49171862,0.008805463,0.6491327,0.34506288,0.005804389,0.46148032,0.51925635,0.019263303,0.3879724,0.59110665,0.020920977
0.22881435,0.6653383,0.10584733,0.4264946,0.5577308,0.015774628,0.6665849,0.31608078,0.017334284,0.8307274,0.16218613,0.0070865033,0.71322006,0.28258857,0.004191369,0.65470546,0.33854645,0.006748122,0.0065780967,0.16261639,0.8308055,0.5601276,0.39427066,0.04560172,0.74377424,0.25144356,0.004782168,0.36366212,0.62157744,0.014760407,0.1796227,0.80235416,0.018023174,0.041499976,0.71641845,0.2420816,0.0399863,0.89929396,0.060719755,0.0079248585,0.86047906,0.13159604,0.91283125,0.08496182,0.002206926,0.40477973,0.57639205,0.018828299,0.3544542,0.6208256,0.024720207,0.6566688,0.3361417,0.007189536,0.39231178,0.5893433,0.018344885,0.7317746,0.261947,0.0062783635,0.19625664,0.7840943,0.019649053,0.92148066,0.07639887,0.0021204555,0.393785,0.5628381,0.043376938,0.8052477,0.19126216,0.0034900776,0.1877387,0.78601307,0.026248164
0.7559686,0.23168838,0.012343089,0.28573653,0.6812133,0.033050183,0.76268166,0.23289487,0.004423443,0.652745,0.33914182,0.008113183,0.585979,0.40478277,0.0092382375,0.9040989,0.0908391,0.005061992,0.16259463,0.74769807,0.08970727,0.5154411,0.47828284,0.006276041,0.14752254,0.82362884,0.028848536,0.3918988,0.59286076,0.015240461,0.06077552,0.7459109,0.19331357,0.33473516,0.49095187,0.17431304,0.53911775,0.44541246,0.015469794,0.25607988,0.6996184,0.04430174,0.42225304,0.56660914,0.01113781,0.6511398,0.3402732,0.008586987,0.79163945,0.20243007,0.0059305415,0.07232825,0.9070092,0.020662626,0.50927466,0.4786024,0.012122935,0.9362504,0.0612625,0.0024870976,0.860533,0.13451608,0.004951014,0.62429655,0.3654144,0.010289009,0.80034256,0.19234392,0.0073134834,0.438058,0.5389988,0.022943242,0.49304634,0.49946764,0.0074860007
0.84016925,0.15471298,0.0051177414,0.2347105,0.5518291,0.21346043,0.54514426,0.44026366,0.0145921,0.1912836,0.77320904,0.035507414,0.95029074,0.04696212,0.002747161,0.33351812,0.64487094,0.021610886,0.2626198,0.7217567,0.015623515,0.28641218,0.6835237,0.030064046,0.29665428,0.6292999,0.07404587,0.37637088,0.6067832,0.016845932,0.10519008,0.8732388,0.021571139,0.4724716,0.50159127,0.025937172,0.5796766,0.4090441,0.011279302,0.41552928,0.5491708,0.03529992,0.06535559,0.8719912,0.062653095,0.52574635,0.46009362,0.0141600175,0.46706662,0.45000842,0.082924955,0.534617,0.44231817,0.02306488,0.15879259,0.71305317,0.12815417,0.031557854,0.9090383,0.059403826,0.09395307,0.8772917,0.028755255,0.3186018,0.64703757,0.034360595,0.6926366,0.29804698,0.009316409,0.44328645,0.5310847,0.025628839,0.6663884,0.31860244,0.015009197
0.76652086,0.22411112,0.009368039,0.045468982,0.41697398,0.53755707,0.7321775,0.26181215,0.0060103657,0.81339055,0.18077134,0.005838118,0.8876433,0.10787975,0.0044769174,0.40446407,0.58081186,0.014724146,0.7703958,0.21978003,0.009824189,0.87030923,0.12674673,0.0029439693,0.91499907,0.082058616,0.0029423297,0.321213,0.6567788,0.022008251,0.025461366,0.47897354,0.49556506,0.65836555,0.3349698,0.0066646286,0.4260634,0.5618616,0.012074971,0.009548485,0.80484027,0.18561123,0.17353006,0.80508864,0.02138129,0.115857616,0.85183483,0.03230759,0.6940454,0.29553625,0.010418324,0.24244076,0.69967234,0.057886917,0.73409086,0.25858337,0.0073257773,0.7544962,0.2405702,0.0049335607,0.8567685,0.13936593,0.0038655803,0.59106886,0.36726567,0.041665506,0.8557203,0.13993514,0.004344585,0.057605963,0.39864573,0.5437483,0.6117423,0.36985824,0.018399445
0.84094864,0.1558896,0.0031617754,0.39008942,0.57866853,0.031242037,0.4515544,0.48979825,0.058647424,0.46085268,0.4859054,0.05324189,0.15081248,0.827629,0.021558462,0.03039767,0.25979736,0.70980495,0.024731329,0.8228209,0.15244785,0.2934785,0.6895264,0.016995175,0.17110902,0.8079581,0.020932838,0.6171639,0.3707484,0.012087751,0.24028076,0.7323487,0.027370535,0.6731121,0.31846902,0.008418925,0.68574417,0.303677,0.010578859,0.70744544,0.28587276,0.006681804,0.70355093,0.27409095,0.022358065,0.096313186,0.83820415,0.0654827,0.18453452,0.79721093,0.018254634,0.2961883,0.6915682,0.012243542,0.37364626,0.6136119,0.012741826,0.28644797,0.6420976,0.07145441,0.39234358,0.5824264,0.025229987,0.12665595,0.810087,0.06325703,0.44760638,0.53544843,0.016945194,0.0050490806,0.16644004,0.8285109,0.01361072,0.91880774,0.06758158
0.31581163,0.6635299,0.020658517,0.78844553,0.2083142,0.0032401863,0.0698098,0.9089414,0.02124885,0.6694936,0.3215409,0.008965477,0.82417554,0.16560015,0.010224323,0.5487085,0.43474105,0.016550366,0.69574225,0.29461575,0.009642089,0.784402,0.20303418,0.012563802,0.6095377,0.38359243,0.0068697818,0.6755168,0.30611792,0.018365264,0.3768211,0.6086216,0.014557302,0.31727678,0.66585356,0.016869659,0.7584473,0.23625387,0.0052989093,0.32853058,0.65290046,0.018568963,0.76228553,0.22430144,0.013412976,0.5513826,0.44005585,0.008561615,0.82190883,0.17403828,0.004052881,0.58756,0.39236584,0.020074176,0.748654,0.24586579,0.0054802396,0.0614082,0.90818906,0.030402709,0.9417609,0.056132525,0.002106525,0.0095710475,0.7156516,0.27477738,0.23983414,0.72770685,0.03245901,0.8208243,0.17597528,0.003200336,0.16167425,0.81709635,0.021229398
